2026-09-07T14:00:45.322936502Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison1/vkr/.
2026-09-07T14:00:45.326428753Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison1/vo/.
2026-09-07T14:00:46.156365318Z [err]  [anime-sama-api] Version ignorée (film/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-ete-avec-coo/film/vo/.
2026-09-07T14:00:46.156374368Z [err]  [anime-sama-api] Version ignorée (film/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-ete-avec-coo/film/vkr/.
2026-09-07T14:00:46.166098278Z [err]  [anime-sama-api] Version ignorée (film/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-ete-avec-coo/film/vo/.
2026-09-07T14:00:46.169710458Z [err]  [anime-sama-api] Version ignorée (film/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-ete-avec-coo/film/vkr/.
2026-09-07T14:00:47.048930546Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison1/va/.
2026-09-07T14:00:47.630383092Z [err]  [anime-sama-api] Version ignorée (film/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-ete-avec-coo/film/va/.
2026-09-07T14:00:47.905214543Z [err]  [anime-sama-api] Version ignorée (film/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-ete-avec-coo/film/va/.
2026-09-07T14:00:48.517215548Z [err]  [anime-sama-api] Version ignorée (saison2/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison2/vo/.
2026-09-07T14:00:49.928969769Z [err]  [anime-sama-api] Version ignorée (saison2/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison2/vkr/.
2026-09-07T14:00:50.000046622Z [err]  [anime-sama-api] Version ignorée (saison2/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison2/va/.
2026-09-07T14:00:50.386831947Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-go/saison1/vf/.
2026-09-07T14:00:51.563899726Z [err]  [anime-sama-api] Version ignorée (saison3/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison3/vo/.
2026-09-07T14:00:51.563908105Z [err]  [anime-sama-api] Version ignorée (saison3/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison3/vkr/.
2026-09-07T14:00:51.784941490Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-go/saison1/vkr/.
2026-09-07T14:00:51.784947360Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-go/saison1/vo/.
2026-09-07T14:00:52.998651487Z [err]  [anime-sama-api] Version ignorée (saison3/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/umbrella-academy/saison3/va/.
2026-09-07T14:00:53.222174711Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/un-go/saison1/va/.
2026-09-07T14:00:55.479950817Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undead-murder-farce/saison1/vf/.
2026-09-07T14:00:56.280510786Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undead-murder-farce/saison1/vf/.
2026-09-07T14:00:56.847693503Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undead-murder-farce/saison1/vo/.
2026-09-07T14:00:56.909101876Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undead-murder-farce/saison1/vkr/.
2026-09-07T14:00:57.656317197Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undead-murder-farce/saison1/vkr/.
2026-09-07T14:00:57.665579970Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undead-murder-farce/saison1/vo/.
